F1	F2	A1
doper	[dɔpe]	v.f. (比赛前)给服用兴奋剂，掺添加剂
doré,e	[dɔre]	adj. 镀金的，金黄色的
dorénavant	[dɔrenavɑ̃]	adv. 今后，此后
dores et déjà	[]	loc.adv. 从今以后，那么
dormir	[dɔrmir]	v.i. 睡觉
dos	[do]	n.m. 背部
dossard	[dosar]	n.m. (运动员比赛时别在背后的)号码布
dossier	[dosje]	n.m. 案卷，档案材料
doter	[dote]	v.t. 给陪嫁，供应，授予
douane	[dwan]	n.f. 海关
double	[dubl]	adj. 双倍的
doublé ,e	[]	adj. 译制的，加倍的
doubler	[duble]	v.t. 超车，重复，使加倍
doublure	[dublyr]	n.f. 衬里
doucement	[dusmɑ̃]	adv. 轻轻地，小心地
douceur	[dusœr]	n.f. 甜蜜，柔和
douche	[du∫]	n.f. 淋浴，淋浴设备
doué,c	[dwe]	adj. 有天分的
douer	[dwe]	v.L 赋予
essor	[esɔr]	n.m. 飞跃，发展
essoufflé, e	[]	adj. 气喘吁吁的
essoufler(s')	[]	v.pr. 喘息，气喘
essuie-glace	[esɥiglas]	n.m.inv. (汽车挡风玻璃上的)刮水器
essuyer	[esɥije]	v.t. 擦干
est	[εst]     作为être变位时：[ε]	n.m. 东，东面
estime	[εstim]	n.f. 估价，看法
estimer	[εstime]	v.t. 认为，估计
estivant, e	[]	n. 避暑者
estomac	[εstɔma]	n.m. 胃
estrade	[εstrad]	n.f. 台
estuaire	[εstɥεr]	n.m. 小港湾，三角港
et	[e]	conj. 和，与
étable	[etabl]	n.f. 家畜棚
établir	[etablir]	v.t. 建立，确立
établissement	[etablismɑ̃]	n.m. 机构，机关，企业
étage	[etaʒ]	n.m. 楼层
étagère	[etaʒεr]	n.f. 书架，搁板
étain	[etɛ̃]	n.m. 锡
étalage	[etalaʒ]	n.m. (商品的)陈列，展览，货架，炫耀，卖弄
porter	[pɔrte]	v.t. 提，承受，支撑，具有，穿戴，运送
portier, ère	[]	n. 看门人
portrait	[pɔrtrε]	n.m. 肖像
portuaire	[pɔrtɥεr]	adj. 港口的
posé,e	[]	adj. 庄重的，稳重的
poser	[poze]	v.t. 提出
positif,ve	[]	adj. 肯定的，确定的
position	[pozisjɔ̃]	n.f. 位置，处境
posle	[pɔst]	n.m. 岗位，职位，站，台，所
posle restante	[]	n.f. (由「局)留局自取
posséder	[pɔsede]	v.t. 拥有，占有，掌握，支配
possibilité	[pɔsibilite]	n.f. 可能性
possible	[pɔsibl]	adj. 可能的
possible (faire son~)	[]	尽力而为
postal ,e	[]	adj. 邮政的
poster	[pɔste]	v.t. 邮寄，布置
pot	[po]	n.m. 壶，罐，钵
pot au feu	[]	n.m. 火锅
potage	[pɔtaʒ]	n.m. 带肉菜的汤，菜园
potasse	[pɔtas]	n.f. 钾肥
rue	[ry]	n.f. 街道，马路
ruelle	[rɥεl]	n.f. 小街，小巷
ruer (se)	[]	v.pr. 奔涌，拥向
rugby	[rygbi]	n.m. 橄榄球
rugueux, se	[]	adj. 粗糙的，凹凸不平的
ruine	[rɥin]	n.f. 毁坏，坍塌，破产，废墟
ruiner	[rɥine]	v.t. 破坏，使毁灭，使破产
ruisseau	[rɥiso]	n.m. 溪，溪流，小河
ruisseler	[rɥisle]	v.i. 流淌
rumeur	[rymœr]	n.f. 流言，谣言，嘈杂声
rupture	[ryptyr]	n.f. 折断，断裂，中止，停止
rural, e	[]	adj. 乡村的
rusé,e	[]	adj. 狡猾的，诡诈的
Russie	[]	俄罗斯（联邦)
rustre	[rystr]	adj.,n. 粗野的(人)
rythme	[ritm]	n.m. 节奏，节拍
supplier	[syplije]	v.t. 哀求，恳求
support	[sypɔr]	n.m. 支持，支柱，支架
supporter	[sypɔrte]	v.t. 支持，容忍，忍住
supposer	[sypoze]	v.t. 假设，设想
suppression	[syprεsjɔ̃]	n.f. 废除，删除，隐匿
sur	[syr]	prêp 在……上面，关于
sur le coup	[]	adv. 即刻地
sur le point de	[]	loc.prép. 正要，即将
sur l'heure	[]	loc.adv. 立即，立刻
sur ta foi de	[]	loc.prép 相信
sûr,e	[]	adj. 肯定的，确信无疑的
suranné, e	[]	adj. 过时的，失效的
sureau	[syro]	n.m. 接骨木
sûrement	[syrmɑ̃]	adv. 当然，肯定地，确实地
sûreté	[syrte]	n.f. 确定，无疑，保证，安全
surface	[syrfas]	n.f. 面积，表面，外表
surfer	[sœrfe]	v.i. 冲浪，上网
sur-le-eamp	[syrlə∫ɑ̃]	adv. 立即，马上
surmonter	[syrmɔ̃te]	v.t. 克服，战胜，超过
surplomber	[syrplɔ̃be]	v.i. 突出，悬于……之上
artichaut	[arti∫o]	n.m. (植)朝鲜蓟
article	[artikl]	n.m. 文章
artifice	[artifis]	n.m. 烟火，诡计，计谋
artificiel, le	[]	adj. 人造的，人工的
artisanat	[artizana]	n.m. 手工业，手艺人(总称)
artiste	[artist]	n. 艺术家
as soupir ( s')	[]	v.pr. 使昏昏欲唾，使缓和
ascenseur	[asɑ̃sœr]	n.m. 电梯
ascension	[asɑ̃sjɔ̃]	n.f. 上升，攀登
asile	[azil]	n.m. 避难历心静处
aspect	[aspε]	n.m. 方面，面貌
aspirateur , trice	[]	adj. 吸气的，吸尘的
aspirer à	[]	v.t.indir 向往，惶惊
assainir	[asεnir]	v.t. 使卫生，消毒，清理
assassiné,e	[]	adj. 被暗杀(刺杀)的
assaut	[aso]	n.m. 攻击，袭击
assemblage	[asɑ̃blaʒ]	n.m. 集合，集中，汇集
assembler	[sasɑ̃ble]	v.t. 集合，集中
asseoir(s')	[]	v.pr. 坐，坐下
asservir	[asεrvir]	v.t. 奴役，征服
communisme	[kɔmynism]	n.m. 共产主义
compact , e	[]	adj. 紧密的，结实的，密集的
compagnie	[kɔ̃paɲi]	n.f. 公司
compagnon	[kɔ̃paɲɔ̃]	n.m. 同伴，伙伴
comparable	[kɔ̃parabl]	adj. 可比较的，类似的
comparer	[kɔ̃pare]	v.t. 比较，对照
compartiment	[kɔ̃partimɑ̃]	n.m. 车厢
compatissant, e	[]	adj. 同情的
compatriote	[kɔ̃patrijɔt]	n. 同胞，同乡
compenser	[kɔ̃pɑ̃se]	v.t. 补偿，赔偿
compétition	[kɔ̃petisjɔ̃]	n.f. 竞争，比赛
complémentaire	[kɔ̃plemɑ̃tεr]	adj. 补充的，充足的
complet, ète	[]	adj. 完全的，全面的
compléter	[kɔ̃plete]	v.t. 完成，使完全
complexe	[kɔ̃plɛks]	adj. 复杂的，复合的
complice	[kɔ̃plis]	adj. 同谋的
compliqué ,e	[]	adj. 复杂的
compliquer	[kɔ̃plike]	v.t. 使复杂化
comploter	[kɔ̃plɔte]	v.t. 密谋，策划
comportement	[kɔ̃pɔrtəmɑ̃]	n.m. 行为，举止
douleur	[dulœr]	n.f. 疼痛
douloureux, se	[]	adj. 痛苦的，疼的
doute	[dut]	n.m. 怀疑
douter de	[]	v.t.ind. 不相信，怀疑
douter(se)	[]	v.pr. 料想到，感到
doux , ce	[]	adj. 甜的，柔和的
dramatique	[dramatik]	adj. 戏剧的，富于戏剧性的
drame	[dram]	n.m. 戏剧
drap	[dra]	n.m. 被单，呢绒
drapeau	[drapo]	n.m. 旗帜
dresser( se)	[]	v.pr. 矗立
drogue	[drɔg]	n.f. 麻醉品
droguer(se)	[]	n.pr. 吸毒，大量服药，服麻醉药品
droguerie	[drɔgri]	n.f. 经销清洁用品等家用小商品的商店
droit	[drwa, -t]	n.m. 权利
droit, e	[]	adj. 直的，笔直的
droite	[drwat]	n.f. 右面，右方
drôle	[drol]	adj. 滑稽的，有趣的
drôlement	[drolmɑ̃]	adv. 滑稽可笑地
du	[dy]	art.part. (部分冠词)
étaler	[etale]	v.t. 陈列，展开
étant donné	[etɑ̃dɔne]	loc.prèp. 由于，鉴于
étape	[etap]	n.f. 阶段
état	[eta]	n.m. 状态，身份
état d'esprit	[]	n.m. 精神状态
etc	[e]	loc.adv. 等等
été	[ete]	n.m. 夏天
éteindre	[etɛ̃dr]	v.t. 熄灭，减轻
éteint, e	[]	adj. 熄灭的
étendard	[etɑ̃dar]	n.m. 军旗，旗帜
étendre	[etɑ̃dr]	v.t. 铺开，伸开，扩展
étendu, e	[]	adj. 广阔的，展开的，直躺着的
étendue	[etɑ̃dy]	n.f. 面积，篇幅
éternel, le	[]	adj. 永恒的，一贯的
éterniser	[setεrnize]	v.t. 使永存
ethnie	[εtni]	n.f. 人种，种族
étinceler	[etɛ̃sle]	v.i. 闪闪发光
étincelle	[etɛ̃sεl]	n.f. 火花，闪光
étiquetage	[etiktaʒ]	n.m. 贴标签
étiquette	[etikεt]	n.f. 标签，礼节
poteau	[pɔto]	n.m. 杆，桩
poterie	[pɔtri]	n.f. 陶瓷器，陶瓷制造
pou	[pu]	n.m. 虱子
poubelle	[pubεl]	m.f. 垃圾箱
pouce	[pus]	n.m. 拇指
poudre	[pudr]	n.f. 弹药，尘埃，粉剂，火药
poudreux, se	[]	adj. 有灰尘的，粉尘的，粉状的
poudroiement	[pudrwamɑ̃]	n.m. (尘土等)飞扬，扬起
poulet	[pulε]	n.m. 鸡，鸡肉
poumon	[pumɔ̃]	n.m. 肺
poupée	[pupe]	n.f. 玩具娃娃
pour	[pur]	prép. 为了
pour le moment	[]	loc.adv. 目前
pour l'instant	[]	loc.adv. 目前，现在
pour que	[]	loc.conj. 为了
pourboire	[purbwar]	n.m. 小费
pourcentage	[pursɑ̃taʒ]	n.m. 百分比
pourpoint	[purpwɛ̃]	n.m. 男上紧身短上衣，背心，马 甲
pourquoi	[purkwa]	adv. 为什么
pourri, e	[]	adj. 腐烂的，腐败的，堕落的
surplus	[syrply]	n.m. 剩余，余额
surprenant , e	[]	adj. 令人惊奇的，出人意外的
surprendre	[syrprɑ̃dr]	v.f. 使惊奇，撞见，突袭
surpris ,e	[]	adj. 惊奇的
surprise	[syrpriz]	n.f. 意料不到的事，惊讶
surproduction	[syrprɔdyksjɔ̃]	n.f. 生产过剩
sursauter	[syrsote]	v.i. 惊跳
surtout	[syrtu]	adv. 特别，尤其
surtout que	[]	loc.conj. 况且
surveillé ,e	[]	adj. 被监视的，受管制的
surveiller	[syrvεje] ou [syrveje]	v.t. 监视，注意
survêtement	[syrvεtmɑ̃]	n.m. 厚运动衫，厚运动裤
survie	[syrvi]	n.f. 幸存，残存
survivre	[syrvivr]	v.i. 幸存，继续存在
survoler	[syrvɔle]	v.t. 飞越，飞过
susceptible	[sysεptibl]	adj. 易感受……的，可能……的，能接受……的
susciter	[sysite]	v.t. 刺激，引发，挑起
suspect	[syspε(kt), -kt]	n.m. 嫌疑犯
suspect,e	[syspɑ:t]	adj. 可疑的，有……嫌疑的
suspendre	[syspɑ̃dr]	v.t. 悬挂，暂停
assez	[ase]	adv. 足够地，相当地
assidu, e	[]	adj. 勤勉的
assiégeant , e	[]	adj. 包围的，围攻的
assiéger	[asjeʒe]	v.t. 包围，围绕，（转）纠缠
assiette	[asjεt]	n.f. 盆，碟，盘
assis , e	[]	adj. 坐着的
assistant,e	[asistɑ̃s]	n. 参加者，助手
assister	[asiste]	v.i. 参加，出席，列席
association	[asɔsjasjɔ̃]	n.f. 合伙，结合，协会
associer	[sasɔsje]	v.t. 结合，联合，接纳
assoiffé,e	[aswafe]	adj. 口渴的，贪婪的
assortir	[asɔrtir]	v.t 使配合，使协调
assourdissant,e	[]	adj. 展耳欲聋的
assouvir	[asuvir]	v.t. 使吃饱，充分满足
assujettissement	[asyʒεtismɑ̃]	n.m. 从属，征服， [转]限制
assumer	[asyme]	v.t. 承担
assurance	[asyrɑ̃s]	n.f. 保证，诺言
assuré, e	[]	adj. 肯定的
assurer	[sasyre]	v.t. 保证，担保
assurer qqn de...	[]	v.t. 使某人确信……
comporter	[kɔ̃pɔrte]	v.t 允许，包含，包括
composé,e	[kɔ̃poze]	adj. 复合的，合成的
composer	[kɔ̃poze]	v.t. 组成，写作
compositeur	[kɔ̃pozitœr, -tris]	n. 作曲家，排字工人
composition	[kɔ̃pozisjɔ̃]	n.f. 作文，组成，构成
composter	[kɔ̃pɔste]	v.t. 用打票机打票
compréhensible	[kɔ̃preɑ̃sibl]	adj. 可理解的，可懂得的
compréhension	[kɔ̃preɑ̃sjɔ̃]	n.f. 理解力，理解
comprendre	[kɔ̃prɑ̃dr]	v.t. 懂得．明白，理解
compression	[kɔ̃prεsjɔ̃]	n.f. 压缩，紧缩
comprimé	[kɔ̃prime]	n.m. 药片
compris, e	[]	adj. 包括在内的，理解的
compromettant, e	[]	adj. 会连累人的
compromettre	[kɔ̃prɔmεtr]	v.t. 连累，危害，损害
compromis	[kɔ̃prɔmi]	n.m. 妥协，和解
comptable	[kɔ̃tabl]	n. 会计
compte	[kɔ̃t]	n.m. 计算，总数，账目，帐户
compte rendu	[kɔ̃trɑdy]	n.m. 报告，汇报
compter	[kɔ̃te]	v.t. 打算，想要
compter pour rien	[]	把某事看得无所谓
du haut de	[]	loc.prép. 从……高处
du point de vue	[]	loc.prép. 从……观点看
dû, due	[]	adj.,n. 归功于，应付的(款子)
d'un bout à l'autre	[dœ̃butalotr]	loc.adv. 从这头到那头儿
d'un trait	[]	loc.adv. 一下子，一口气
d'une	[œ̃]	loc.adv. 一方面……另一方面
duo	[dyo]	n.m. 二重唱
duper	[dype]	v.t. 欺骗
dur, e	[]	adj. 困难的，难对付的，坚硬的
durée de vie	[]	n.f. 寿命
durement	[dyrmɑ̃]	adv. 严酷地，严峻地
durer	[dyre]	v.i. 持续
d'usage	[]	loc.adj. 合乎习惯的
duvet	[dyvε]	n.m. 鸭绒睡袋， (鸟)绒毛
dynamique	[dinamik]	adj. 活跃的，生气勃勃的
dynamite	[dinamit]	n.f. 炸药
étoffe	[etɔf]	n.f. 织物，材料，品质
étoffer	[etɔfe]	v.t. 使丰富，充实
étoile	[etwal]	n.m. 星星，明星
étole	[etɔl]	n.f. 襟带，毛皮长披肩
étonnant,e	[]	adj. 令人惊讶的，非凡的
étonné, e	[]	adj. 惊讶的
étonnement	[etɔnmɑ̃]	n.m. 惊讶
étonner(s')	[]	v.pr. 震惊
étouffer	[etufe]	v.t. 使窒息，扑灭
étourdir	[eturdir]	v.t. 使昏，使震惊
étrange	[etrɑ̃ʒ]	adj. 奇怪的，古怪的
étranger, ère	[]	adj. 外国的
être	[εtr]	v.i. 是
être à bout de	[]	再也没有，完全丧失
être à l'origine de	[]	是……的起源
être arrêté(e)	[]	被捕
être au courant	[]	了解情况的
être au goût de	[]	合……口味
être au soleil	[]	晒太阳
être aux écoutes	[]	偷听，留心
pourrir	[purir]	v.i. 使腐烂，使腐败，被拖垮
pourriture	[purityr]	n.f. 腐烂，腐朽
poursuivre	[pursɥivr]	v.t. 追逐，追赶，追求，追踪，继续从事
pourtant	[purtɑ̃]	adv. 然而，无论如何
pourvoir	[purvwar]	v.t. 授予，供给
pourvoyeur	[purvwajœr]	n.m. 供应者
pourvu que	[purvykə]	loc.conj. 只要，但愿
pousser	[puse]	v.t. 使生长，推，促进，激励
pousser à bout	[]	忍无可忍，达到极限
poussette	[pusεt]	n.f. 作弊，童车
poussière	[pusjεr]	n.f. 灰尘，尘土，尘埃
poutre	[putr]	n.f. 梁，工字钢
poutrelle	[putrεl]	n.f. 小梁
pouvoir	[puvwar]	n.m. 能力，权力
prairie	[prεri]	n.f. 牧场，草地
pratique	[pratik]	adj. 实用的，方便的
pratiquer	[pratike]	v.t. 实践，从事
pré	[pre]	n.m. 牧场，草地
préalable	[prealabl]	adj. 预先的
préalablement	[prealabləmɑ̃]	adv. 事前，预先
suspense	[syspεns]	n.m. 悬念
swinguer	[swiŋge]	v.i. 用爵士乐的节奏演奏
s'y prendre	[]	v.pr. 干，做，动手干，做起来
symbole	[sɛ̃bɔl]	n.m. 象征
symbolique	[sɛ̃bɔlik]	adj. 象征性的，作为象征的
sympa	[sɛ̃pa]	adj.inv. 友好的，讨人喜欢的
sympathique	[sɛ̃patik]	adj. 给人好感的，令人惬意的
symphonie	[sɛ̃fɔni]	n.f. 交响乐，交响曲
symptôme	[sɛ̃ptom]	n.m. 症状，征兆，征候
synagogue	[sinagɔg]	n.f. 犹太教堂，犹太教
syncopé ,e	[]	adj. 切分的，有字母或音节消失的
syndicat	[sɛ̃dika]	n.m. 工会
syndicat d'initiative	[]	n.m. 旅游事业联合会
synthèse	[sɛ̃tεz]	n.f. 综合，概括，合成
systématiquement	[sistematikmɑ̃]	adv. 系统地，有步骤地，一贯地
système	[sistεm]	n.m. 系统，方式，体制，制度
astreindre	[astrɛ̃dr]	v.t. 强迫，强制
astrologue	[astrɔlɔg]	n.m. 星相学者
astronaute	[astrɔnot]	n. 宇航员，航天员
astronomie	[astrɔnɔmi]	n.f. 天文，天文学
astuce	[astys]	n.f. 狡猾，奸诈，机灵
astucieux, se	[]	adj. 机智的
atelier	[atəlje]	n.m. 车间，作坊
athée	[ate]	adj.,n. 无神论的，不信神的(人)
athlétique	[atletik]	adj. 田径运动的，竞技的
athlétisme	[atletism]	n.m. 田径运动
atlantique	[atlɑ̃tik]	n.f. 大西洋
atmosphère	[atmɔsfεr]	n.m. 大气，空气
atomique	[atɔmik]	adj. 原子的
atout	[atu]	n.m. 王牌，成功的手段，打击
attaché de presse	[]	n. 新闻专员
attaché, e	[]	adj. 喜爱的，忠实的
attacher	[sata∫e]	v.t. 拴，缚，捆，绑
attaquer	[atake]	v.t. 攻击，进攻
atteindre	[atɛ̃dr]	v.t. 达到
atteint ,e	[]	adj. 患病的
comptoir	[kɔ̃twar]	n.m. 柜台
comte	[kɔ̃t]	n.m. 伯爵
con.soler	[kɔ̃sɔle]	v.t. 安慰，减轻
concentration	[kɔ̃sɑ̃trasjɔ̃]	n.f. 集中，专心
concentrer(se)	[]	v.pr. 全神贯注，集中
concepteur, trice	[]	n. 设计者
conception	[kɔ̃sεpsjɔ̃]	n.m. 概念，观念
concernant	[kɔ̃sεrnɑ̃]	prép. 关于
concert	[kɔ̃sεr]	n.m. 音乐会，合唱
concertation	[kɔ̃sεrtasjɔ̃]	n.f. 商讨，商议
concerto	[kɔ̃sεrto]	n.m. 协奏曲
concession	[kɔ̃sεsjɔ̃]	n.f. 让步，经营权，租界
concessionnaire	[kɔ̃sεsjɔnεr]	n. 经营权、特许权所有人
concevoir	[kɔ̃svwar]	v.t. 设想，怀孕
concierge	[kɔ̃sjεrʒ]	n. 看门人
concitoyen, ne	[]	n. 同胞，同乡
conclure	[kɔ̃klyr]	v.f.dir 作出结论，缔结，商定
conclusion	[kɔ̃klyzjɔ̃]	n.f. 结论，结束
concombre	[kɔ̃kɔ̃br]	n.m. 黄瓜
concorde	[kɔ̃kɔrd]	n.f. 协议，协和式飞机
être baigné par	[]	濒临……
être bien aise	[]	很高兴的
être bien vêtu(e)	[]	衣冠楚楚的
être bien vu(e)	[]	被重视的，被看好的
être bordê(e) par	[]	被……环绕
être capable de (faire)	[]	能够做某事
être condamné (e) à mort	[]	被判死刑
être confronté(e) à	[]	与…对质
être content(e) de	[]	对…满意，高兴
être convaincu(e) que	[]	确信
être de retour	[]	回来
être de son avis	[]	同意某人的意见
être défendu (e) de	[]	被禁止做某事
être désolé(e)	[]	感到遗憾，感到抱歉
être déterminé(e) par	[]	被……确定
être émerveillé(e) de	[]	对做某事赞叹不已
être en baisse	[]	处于下降中
être en colère	[]	发怒，发脾气
être en faute	[]	犯错误的
être en mission	[]	出差
précarité	[prekarite]	n.f. 不可靠，不稳定，不确定性
précaution	[prekosjɔ̃]	n.f. 警惕，预防
précédemment	[presedamɑ̃]	adv. 先前，以前
précédent, e	[]	adj. 在先的
prêcher	[prε∫e]	v.t. 宣传，鼓吹，说教
précieux, se	[]	adj. 珍贵的，宝贵的，可贵的
précipice	[presipis]	n.m. 悬崖，绝壁，不幸，灾难
précipitamment	[presipitamɑ̃]	adv. 急匆匆地，赶忙地
précipitation	[presipitasjɔ̃]	n.m. 匆忙，仓促
précipiter(se)	[]	v.pr. 加速，匆忙，急于
précis, e	[]	adj. 确定的，明确的
précisément	[presizemɑ̃]	adv. 准确地，明确地
préciser	[presize]	v.t. 明确，精确，确定
précoce	[prekɔs]	adj. 早熟的，提早的
précurseur	[prekyrsœr]	n.m. 先驱，预兆
prédateur	[predatœr, -tris]	n.m. 捕食性的动物
prédiction	[prediksjɔ̃]	n.f. 预言，预告，被预言的事
prédire	[predir]	v.t. 预告，预言
préfecture	[prefεktyr]	n.f. 省政府，省会，警察局
préféré, e	[]	adj. 最为人所喜爱的
attendre	[atɑ̃dr]	v.t. 等侯，等待
attendre (s')	[]	v.pr. 预计，料想
attendre qqch de qqn	[]	v.t. 等待某人送某物
attendrissement	[atɑ̃drismɑ̃]	n.m. 感动，同情
attentat	[atɑ̃ta]	n.m. 恐怖事件，谋害，行凶
attente	[atɑ̃t]	n.f. 等候，等待，期望，期待
attention	[atɑ̃sjɔ̃]	n.f. 当心，专心，注意
atténuant, e	[]	adj. (罪行)可减轻的
atténuer	[atenɥe]	v.f. 减轻，缓和
atterrissage	[atεrisaʒ]	n.m. 着陆，靠岸
attestation	[atεstasjɔ̃]	n.f. 证明，证据
attetitif， ve	[]	adj. 专心的，关心的
attirance	[atirɑ̃s]	n.f. 吸引力，魅力
attirant, e	[]	adj. 吸引人的，诱人的
attirer	[atire]	v.t. 吸引
attiser	[atize]	v.t. 煽动，把火拨旺
attitude	[atityd]	n.f. 态度
attractif, ve	[]	adj. 有吸引力的，诱人的
attraction	[atraksjɔ̃]	n.f. 吸引力，吸引，起力
attraper	[atrape]	v.t. 追上，赶上
concret,et e	[]	adj. 具体的，实际的
concurrence	[kɔ̃kyrɑ̃s]	n.f. 竞争
concurrencé, e	[]	adj. 竞争的
concurrencer	[kɔ̃kyrɑ̃se]	v.t. 与……竞争
concurrent	[kɔ̃kyrɑ̃]	n.m. 竞争者
condamnée	[kɔ̃dane]	adj. 被判刑的
condiment	[kɔ̃dimɑ̃]	n.m. 调味品
condition	[kɔ̃disjɔ̃]	n.f. 条件
conditionner	[kɔ̃disjɔne]	v.t. 决定，为……的条件，调节
condoléances	[kɔ̃dɔleɑ̃s]	n.f.pl 吊唁，哀悼
conducteur	[kɔ̃dyktœr, -tris]	n.m. 驾驶员
conduire	[kɔ̃dɥir]	v.t. 驾驭，驾驶
conduire à	[]	v.i. 导致
conduite	[kɔ̃dɥit]	n.f. 带领，指导，指挥．举止
conduite (d'eau)	[]	n.f. 水管
conférence	[kɔ̃ferɑ̃s]	n.f. 报告会，讲座
conférencier,ère	[]	n. 讲演人，报告人
confiance	[kɔ̃fjɑ̃s]	n.f. 相信，自信心
confidence	[kɔ̃fidɑ̃s]	n.f. 隐情，秘密
confidentiel ,le	[]	adj. 秘密的，机密的
être en pension	[]	住校(学生)
être en retard en (dans)	[]	在……方面落后
être en train de (faire)	[]	正在做某事
être fait(e) pour	[]	供……用的
être fier (ère) de qch.	[]	对某事感到骄傲
être gâté(e)	[]	被溺爱
être issu(e) de	[]	出生于……，出身于……
être loin de (faire)	[]	做某事还差的远
être nul en	[]	在……方面很差
être obligé(e) de	[]	被迫傲某事
être pris(e)	[]	很忙
être sous les ordres de qqn.	[]	听命于某人
être sujet à	[]	易受……的，有……倾向
être sûr(e) de	[]	对……确信无疑的
étroit, e	[]	adj. 窄的，狭小的
étude	[etyd]	n.f. 学习
étude poussée	[]	n.f. 深人研究
étudiant, e	[]	n. 大学生
étudier	[etydje]	v.t. 研究，学习
euphorie	[øfɔri]	n.f. 安乐，舒适
préférence	[preferɑ̃s]	n.f. 爱好，特别喜欢
préférentiel, le	[]	adj. 优惠的，优先的
préférer	[prefere]	v.t. 更喜欢
préfet	[prefε]	n.m. 省长，警察局长，行政长官
préhistoire	[preistwar]	n.f. 史前学，史前史
préjugé	[preʒyʒe]	n.m. 判例，偏见
premier , ère	[]	adj. 第一，首先
premier ministre	[]	n.m. 总理
prendre	[prɑ̃dr]	v.t. 拿，喝，吃，搭乘
prendre congé de qqn	[]	向……告辞
prendre des mesures	[]	采取措施
prendre en charge	[]	担当责任
prendre garde que	[]	注意到
prendre le	[]	采用相反的方法
prendre qqn en pitié	[]	怜悯某人，同情某人
preneur de son	[]	录音师
prénom	[prenɔ̃]	n.m. 名字
préoccupation	[preɔkypasjɔ̃]	n.f. 担心，担忧，专心
préoccupé,e	[preɔkype]	adj. 担心的，挂虑的，被吸引住的
préparatifs	[preparatif]	n.m.pl. 准备工作
attrayant, e	[]	adj. 迷人的，有魅力力的，吸引人的
attribuer	[atribɥe]	v.t. 授予，归于
attribution	[atribysjɔ̃]	n.f. 授予，给予
au bord de la mer	[]	foc.prep. 在海边
au bout	[]	loc.adv. 在尽头
au contraire	[]	loc.adv. 相反地
au cours de	[okurdə]	loc.prép. 在……期间
au début	[]	loc.adv. 最初
au demeurant	[odəmœrɑ̃]	loc.adv. 总之，毕竟
au détriment de	[odetrimɑ̃də]	lue.prép. 损害……
au fond	[]	loc.adv. 实际上
au fond de	[]	loc.prêp. 在……深处
au large	[]	loc.adv. 阔绰地，宽敞地
au lieu de	[oljødə]	loc.prép. 不……而……
au loin	[]	loc.adv. 在远处
au milieu de	[omiljødə]	loc.prép. 在……中间
au moins	[]	loc.adv. 至少
au plus tard	[]	loc.adv. 最迟
au point de vue de	[]	loc.prép. 以……的观点
au retour de	[]	loc.prép. 当……回来时(后)
confier	[kɔ̃fje]	v.t. 委托，托付
confirmation	[kɔ̃firmasjɔ̃]	n.f. 确认
confirmer	[kɔ̃firme]	v.t. 证实
confiseur, se	[]	n. 糖果商，甜食商
confiture	[kɔ̃fityr]	n.f. 果酱
conflit	[kɔ̃fli]	n.m. 冲突，格斗
confort	[kɔ̃fɔr]	n.m. 舒适
confortable	[kɔ̃fɔrtabl]	adj. 舒适的
confrontation	[kɔ̃frɔ̃tasjɔ̃]	n.f. 对照,比较，对质
confronter	[kɔ̃frɔ̃te]	v.t. 使对质，对照
confus, e	[]	adj. 羞傀的，混乱的
congé	[kɔ̃ʒe]	n.m. 假期，辞退
congrès	[kɔ̃grε]	n.m. 大会，代表大会
conjoint,e	[]	adj.,n. 结合的，联合的,配偶
conjuga,e	[kɔ̃ʒygabl]	adj. 夫妇的，配偶的
connaissance	[kɔnεsɑ̃s]	n.f. 认识
connaître	[kɔnεtr]	v.t. 知道，了解
connecteur	[kɔnεktœr]	m.m. 联接器，连接符
connerie	[kɔnri]	n.f. 蠢事，荒诞
connexion	[kɔnεksjɔ̃]	m.f. 连接，联合
euro	[øro]	n.m. 欧元
Euro vision	[]	w.f. 欧洲电视联播
européen, ne	[]	adj. 欧洲的
eux	[ø]	pron.pers.m.pl. 他们
évacuer	[evakɥe]	v.t. 排泄，排出，撤离
évadé, e	[]	adj. 越狱的
évader(s')	[]	v.pr. 逃跑，溜走
évangile	[evɑ̃ʒil]	n.m. (宗)福音
évaporation	[evapɔrasjɔ̃]	n.f. 蒸发，轻率
évasif,	[evazif]	adj. 支吾搪塞的
évasion	[evazjɔ̃]	n.f. 逃跑，越狱，散心
évatiouir(s')	[]	v.pr. 消失，昏倒
éveillé, e	[]	adj. 醒着的
éveiller	[evεje]	v.t. 使醒，启发
événement	[evεnmɑ̃]	n.m. 事件，大事
éventail	[evɑ̃taj]	n.m. 扇子
éventuellement	[evɑ̃tɥεlmɑ̃]	adv. 可能地，偶然地
évêque	[evεk]	n.m. 主教
évidemment	[evidamɑ̃]	adv. 明显地，偶然地
évident, e	[]	adj. 明显的
préparer	[prepare]	v.t. 准备
près (de)	[]	loc.prép. 在……附近，旁边
presbytère	[prεzbitεr]	n.m. 本堂神甫住宅
présence	[prezɑ̃s]	n.f. 出席，到场，存在，参加
présentateur , trice	[]	n. 主持人，报幕员，推销员
présenter	[prezɑ̃te]	v.t. 介绍
préserver	[prezεrve]	v.t. 保护，保存，使预防
